	BCM8	BCM9	BCM12	BCM14	BCM15	BCM23	BCM24	BCM26	BCM27	BCM28
Actinobacteria	575	691	44	586	392	502	462	527	65	1014
Bacteroidetes	215	18	249	31	675	40	30	47	55	29
Cyanobacteria	2	1	0	1	0	2	0	0	325	1
Firmicutes	1807	1271	680	1586	1321	1515	1179	1010	771	1697
Fusobacteria	0	0	0	0	0	0	0	941	0	0
Proteobacteria	7966	8588	9597	8361	8182	8512	8900	8045	9159	7827
Verrucomicrobia	6	2	1	6	1	0	0	1	196	3
